PVLDB | text-to-sql | total=61 returned=61
PVLDB | nl2sql | total=5 returned=5
SIGMOD | text-to-sql | total=19697 returned=100
SIGMOD | nl2sql | total=36 returned=36
PACMMOD | text-to-sql | total=4729 returned=100
PACMMOD | nl2sql | total=16 returned=16
ICDE | text-to-sql | total=20643 returned=100
ICDE | nl2sql | total=38 returned=38
CIDR | text-to-sql | total=20605 returned=100
CIDR | nl2sql | total=38 returned=38
TODS | text-to-sql | total=6593 returned=100
TODS | nl2sql | total=12 returned=12
VLDBJ | text-to-sql | total=61 returned=61
VLDBJ | nl2sql | total=5 returned=5
ACL | text-to-sql | total=3927 returned=100
ACL | nl2sql | total=10 returned=10
EMNLP | text-to-sql | total=5895 returned=100
EMNLP | nl2sql | total=4 returned=4
NAACL | text-to-sql | total=4179 returned=100
NAACL | nl2sql | total=10 returned=10
NeurIPS | text-to-sql | total=10310 returned=100
NeurIPS | nl2sql | total=17 returned=17
ICLR | text-to-sql | total=18587 returned=100
ICLR | nl2sql | total=34 returned=34
ICML | text-to-sql | total=18742 returned=100
ICML | nl2sql | total=35 returned=35
